profile_set,scoring_config,seed,checkpoint,cumulative_gt_acc,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
simplified,w_g_static,42,700,0.7585714285714286,0.7866666666666666,0.6666666666666666,0.823943661971831,0.7755102040816326,0.7246376811594203
simplified,w_g_static,42,1000,0.818,0.8211009174311926,0.7608695652173914,0.8606965174129353,0.835,0.8071065989847716
simplified,w_g_static,123,50,0.5,0.8,0.2727272727272727,0.3333333333333333,0.7777777777777778,0.36363636363636365
simplified,w_g_static,123,100,0.53,0.7,0.35,0.4583333333333333,0.7647058823529411,0.42105263157894735
simplified,w_g_static,123,200,0.69,0.8048780487804879,0.6222222222222222,0.6097560975609756,0.7837837837837838,0.6388888888888888
simplified,w_g_static,123,400,0.8075,0.8658536585365854,0.8045977011494253,0.7777777777777778,0.7972972972972973,0.7894736842105263
simplified,w_g_static,123,700,0.8614285714285714,0.8854961832061069,0.8707482993197279,0.8478260869565217,0.8378378378378378,0.8676470588235294
simplified,w_g_static,123,1000,0.895,0.8983957219251337,0.9054726368159204,0.9018691588785047,0.8640776699029126,0.90625
simplified,w_g_static,456,50,0.5,0.16666666666666666,0.35714285714285715,0.5454545454545454,0.6923076923076923,0.6666666666666666
simplified,w_g_static,456,100,0.51,0.4117647058823529,0.38461538461538464,0.5294117647058824,0.7391304347826086,0.47058823529411764
simplified,w_g_static,456,200,0.58,0.5833333333333334,0.4423076923076923,0.6,0.7073170731707317,0.6129032258064516
simplified,w_g_static,456,400,0.7025,0.7142857142857143,0.5909090909090909,0.7012987012987013,0.7721518987341772,0.7468354430379747
simplified,w_g_static,456,700,0.7985714285714286,0.7985074626865671,0.7465753424657534,0.7748344370860927,0.8346456692913385,0.8450704225352113
simplified,w_g_static,456,1000,0.855,0.8556149732620321,0.8164251207729468,0.8260869565217391,0.8810810810810811,0.897196261682243
simplified,w_g_static,789,50,0.52,0.3,0.7142857142857143,0.5384615384615384,0.6363636363636364,0.4444444444444444
simplified,w_g_static,789,100,0.58,0.47619047619047616,0.7058823529411765,0.5555555555555556,0.6875,0.5263157894736842
simplified,w_g_static,789,200,0.65,0.58,0.65,0.7142857142857143,0.7647058823529411,0.5588235294117647
simplified,w_g_static,789,400,0.73,0.7157894736842105,0.7380952380952381,0.7951807228915663,0.7741935483870968,0.631578947368421
simplified,w_g_static,789,700,0.8114285714285714,0.7894736842105263,0.8238993710691824,0.8636363636363636,0.8416666666666667,0.7445255474452555
simplified,w_g_static,789,1000,0.85,0.8398058252427184,0.864406779661017,0.9010989010989011,0.8547486033519553,0.7918781725888325
simplified,w_g_static,1024,50,0.34,0.4,0.42857142857142855,0.1,0.4666666666666667,0.25
simplified,w_g_static,1024,100,0.48,0.35,0.5,0.45454545454545453,0.6190476190476191,0.47058823529411764
simplified,w_g_static,1024,200,0.625,0.575,0.631578947368421,0.5434782608695652,0.7333333333333333,0.6451612903225806
simplified,w_g_static,1024,400,0.735,0.6888888888888889,0.759493670886076,0.7032967032967034,0.8194444444444444,0.7205882352941176
simplified,w_g_static,1024,700,0.7914285714285715,0.7368421052631579,0.8,0.7678571428571429,0.8676470588235294,0.788135593220339
simplified,w_g_static,1024,1000,0.813,0.7967032967032966,0.8151658767772512,0.7755102040816326,0.8783068783068783,0.8092485549132948
simplified,w_g_static,2048,50,0.38,0.375,0.2,0.5555555555555556,0.2857142857142857,0.42857142857142855
simplified,w_g_static,2048,100,0.5,0.47058823529411764,0.4,0.6666666666666666,0.4444444444444444,0.5217391304347826
simplified,w_g_static,2048,200,0.545,0.5294117647058824,0.4594594594594595,0.6410256410256411,0.5869565217391305,0.5
simplified,w_g_static,2048,400,0.71,0.7352941176470589,0.6829268292682927,0.7804878048780488,0.6785714285714286,0.6785714285714286
simplified,w_g_static,2048,700,0.7885714285714286,0.8320610687022901,0.8085106382978723,0.815068493150685,0.7687074829931972,0.7185185185185186
simplified,w_g_static,2048,1000,0.848,0.8802083333333334,0.8629441624365483,0.864321608040201,0.8285714285714286,0.806930693069307
simplified,w_g_static,3072,50,0.38,0.42857142857142855,0.2,0.625,0.3333333333333333,0.3333333333333333
simplified,w_g_static,3072,100,0.5,0.36363636363636365,0.35,0.6086956521739131,0.6153846153846154,0.5909090909090909
simplified,w_g_static,3072,200,0.65,0.6,0.6136363636363636,0.65,0.7333333333333333,0.6829268292682927
simplified,w_g_static,3072,400,0.765,0.7108433734939759,0.7560975609756098,0.7631578947368421,0.8181818181818182,0.7849462365591398
simplified,w_g_static,3072,700,0.8442857142857143,0.8161764705882353,0.8299319727891157,0.8695652173913043,0.8582677165354331,0.8486842105263158
simplified,w_g_static,3072,1000,0.881,0.8385416666666666,0.8792270531400966,0.9086294416243654,0.8791208791208791,0.8963963963963963
simplified,w_g_static,4096,50,0.46,0.6,0.1111111111111111,0.5555555555555556,0.5,0.5384615384615384
simplified,w_g_static,4096,100,0.63,0.65,0.5294117647058824,0.7222222222222222,0.65,0.6
simplified,w_g_static,4096,200,0.695,0.7560975609756098,0.47058823529411764,0.75,0.7346938775510204,0.7272727272727273
simplified,w_g_static,4096,400,0.7825,0.8072289156626506,0.6883116883116883,0.7692307692307693,0.8072289156626506,0.8260869565217391
simplified,w_g_static,4096,700,0.8442857142857143,0.8620689655172413,0.8041958041958042,0.8582677165354331,0.8671328671328671,0.8309859154929577
simplified,w_g_static,4096,1000,0.883,0.8925233644859814,0.8697674418604651,0.8956043956043956,0.8877551020408163,0.8704663212435233
simplified,w_g_static,5120,50,0.32,0.25,0.5,0.3333333333333333,0.2222222222222222,0.3076923076923077
simplified,w_g_static,5120,100,0.48,0.5,0.5625,0.42857142857142855,0.5238095238095238,0.4166666666666667
simplified,w_g_static,5120,200,0.605,0.6060606060606061,0.4857142857142857,0.625,0.75,0.5416666666666666
simplified,w_g_static,5120,400,0.6575,0.6219512195121951,0.6323529411764706,0.686046511627907,0.72,0.6292134831460674
simplified,w_g_static,5120,700,0.7442857142857143,0.7123287671232876,0.7580645161290323,0.7388535031847133,0.775,0.7450980392156863
simplified,w_g_static,5120,1000,0.804,0.7836538461538461,0.8156424581005587,0.7972350230414746,0.8351063829787234,0.7932692307692307
simplified,w_g_static,6144,50,0.4,0.375,0.42857142857142855,0.375,0.4444444444444444,0.4
simplified,w_g_static,6144,100,0.46,0.43478260869565216,0.5625,0.4,0.5789473684210527,0.36363636363636365
simplified,w_g_static,6144,200,0.58,0.6,0.5882352941176471,0.4594594594594595,0.7,0.5454545454545454
simplified,w_g_static,6144,400,0.7,0.7011494252873564,0.6875,0.691358024691358,0.75,0.6704545454545454
simplified,w_g_static,6144,700,0.75,0.7350993377483444,0.7207207207207207,0.7908496732026143,0.8095238095238095,0.6811594202898551
simplified,w_g_static,6144,1000,0.798,0.7740384615384616,0.8047337278106509,0.8421052631578947,0.8461538461538461,0.7233009708737864
simplified,w_g_learned,42,50,0.32,0.1111111111111111,0.4444444444444444,0.375,0.38461538461538464,0.2727272727272727
simplified,w_g_learned,42,100,0.51,0.45454545454545453,0.47058823529411764,0.6190476190476191,0.6538461538461539,0.21428571428571427
simplified,w_g_learned,42,200,0.645,0.6744186046511628,0.5833333333333334,0.7954545454545454,0.6666666666666666,0.45714285714285713
simplified,w_g_learned,42,400,0.755,0.7954545454545454,0.6571428571428571,0.8488372093023255,0.8148148148148148,0.6266666666666667
simplified,w_g_learned,42,700,0.8242857142857143,0.84,0.7804878048780488,0.8802816901408451,0.8775510204081632,0.7318840579710145
simplified,w_g_learned,42,1000,0.875,0.8853211009174312,0.8532608695652174,0.9104477611940298,0.91,0.8121827411167513
simplified,w_g_learned,123,50,0.5,0.8,0.2727272727272727,0.3333333333333333,0.7777777777777778,0.36363636363636365
simplified,w_g_learned,123,100,0.54,0.7,0.4,0.4583333333333333,0.7647058823529411,0.42105263157894735
simplified,w_g_learned,123,200,0.715,0.8292682926829268,0.6444444444444445,0.6341463414634146,0.8378378378378378,0.6388888888888888
simplified,w_g_learned,123,400,0.805,0.8902439024390244,0.7586206896551724,0.7777777777777778,0.8243243243243243,0.7763157894736842
simplified,w_g_learned,123,700,0.8514285714285714,0.916030534351145,0.8299319727891157,0.8188405797101449,0.8716216216216216,0.8235294117647058
simplified,w_g_learned,123,1000,0.891,0.9358288770053476,0.8706467661691543,0.883177570093458,0.9077669902912622,0.859375
simplified,w_g_learned,456,50,0.5,0.16666666666666666,0.35714285714285715,0.5454545454545454,0.6923076923076923,0.6666666666666666
simplified,w_g_learned,456,100,0.51,0.4117647058823529,0.38461538461538464,0.5294117647058824,0.6956521739130435,0.5294117647058824
simplified,w_g_learned,456,200,0.59,0.6111111111111112,0.4423076923076923,0.675,0.6829268292682927,0.5806451612903226
simplified,w_g_learned,456,400,0.6925,0.6753246753246753,0.5340909090909091,0.7792207792207793,0.7848101265822784,0.7088607594936709
simplified,w_g_learned,456,700,0.7914285714285715,0.7686567164179104,0.684931506849315,0.8675496688741722,0.8582677165354331,0.7816901408450704
simplified,w_g_learned,456,1000,0.852,0.8342245989304813,0.7729468599033816,0.9033816425120773,0.9027027027027027,0.8504672897196262
simplified,w_g_learned,789,50,0.52,0.3,0.7142857142857143,0.5384615384615384,0.6363636363636364,0.4444444444444444
simplified,w_g_learned,789,100,0.59,0.42857142857142855,0.7058823529411765,0.6296296296296297,0.6875,0.5263157894736842
simplified,w_g_learned,789,200,0.655,0.48,0.7,0.7380952380952381,0.7941176470588235,0.6176470588235294
simplified,w_g_learned,789,400,0.8,0.7052631578947368,0.7976190476190477,0.8313253012048193,0.8870967741935484,0.8157894736842105
simplified,w_g_learned,789,700,0.8842857142857142,0.8092105263157895,0.8930817610062893,0.8939393939393939,0.9416666666666667,0.8978102189781022
simplified,w_g_learned,789,1000,0.916,0.8592233009708737,0.923728813559322,0.9230769230769231,0.9497206703910615,0.9289340101522843
simplified,w_g_learned,1024,50,0.36,0.4,0.42857142857142855,0.2,0.4666666666666667,0.25
simplified,w_g_learned,1024,100,0.49,0.4,0.5,0.5,0.5714285714285714,0.47058823529411764
simplified,w_g_learned,1024,200,0.645,0.45,0.6578947368421053,0.6739130434782609,0.7555555555555555,0.6774193548387096
simplified,w_g_learned,1024,400,0.755,0.6222222222222222,0.7721518987341772,0.8241758241758241,0.8333333333333334,0.7352941176470589
simplified,w_g_learned,1024,700,0.8242857142857143,0.6691729323308271,0.8482758620689655,0.8809523809523809,0.8970588235294118,0.8050847457627118
simplified,w_g_learned,1024,1000,0.861,0.7472527472527473,0.8720379146919431,0.9020408163265307,0.9153439153439153,0.8497109826589595
simplified,w_g_learned,2048,50,0.36,0.25,0.2,0.5555555555555556,0.2857142857142857,0.42857142857142855
simplified,w_g_learned,2048,100,0.47,0.29411764705882354,0.4,0.6666666666666666,0.4444444444444444,0.5217391304347826
simplified,w_g_learned,2048,200,0.59,0.35294117647058826,0.5135135135135135,0.7435897435897436,0.6304347826086957,0.6590909090909091
simplified,w_g_learned,2048,400,0.7675,0.6617647058823529,0.7560975609756098,0.8536585365853658,0.7380952380952381,0.8095238095238095
simplified,w_g_learned,2048,700,0.8642857142857143,0.8244274809160306,0.8581560283687943,0.910958904109589,0.8503401360544217,0.8740740740740741
