profile_set,scoring_config,seed,g_credential_access_travel_match,g_credential_access_asset_criticality,g_credential_access_threat_intel,g_credential_access_time_anomaly,g_credential_access_device_trust,g_credential_access_pattern_history,g_threat_intel_match_travel_match,g_threat_intel_match_asset_criticality,g_threat_intel_match_threat_intel,g_threat_intel_match_time_anomaly,g_threat_intel_match_device_trust,g_threat_intel_match_pattern_history,g_lateral_movement_travel_match,g_lateral_movement_asset_criticality,g_lateral_movement_threat_intel,g_lateral_movement_time_anomaly,g_lateral_movement_device_trust,g_lateral_movement_pattern_history,g_data_exfiltration_travel_match,g_data_exfiltration_asset_criticality,g_data_exfiltration_threat_intel,g_data_exfiltration_time_anomaly,g_data_exfiltration_device_trust,g_data_exfiltration_pattern_history,g_insider_threat_travel_match,g_insider_threat_asset_criticality,g_insider_threat_threat_intel,g_insider_threat_time_anomaly,g_insider_threat_device_trust,g_insider_threat_pattern_history
realistic,w_g_learned,42,0.990019061532227,0.9781500165479036,1.0063805851123806,0.9701609096486769,1.191229226535168,1.1534475861220321,0.9909443304770754,1.019875650820531,0.9963431732521104,0.9784798276050921,1.025011269733957,1.0171046677381685,1.0004548834528781,1.0642603176903254,0.9989293969786398,1.0500565773393562,0.9970677496579963,1.0008079414806017,1.0074581674399512,1.1133911997449006,1.0023343829842408,1.0361727866518293,0.9965398299360448,1.0000638145737266,0.9870387658072927,1.043112051134096,0.9964728370622805,0.9823534067203605,0.9837171609736618,0.9414029766736474
realistic,w_g_learned,123,0.9961009536307256,0.9992384867520853,1.0209411246871225,0.990196195667056,1.166366658690979,1.1131249922018214,0.9828024804785919,1.0006508719420624,0.9747753378471494,0.9647951521622757,1.0076921709487716,1.0003838481411869,0.9997571975766075,1.0394915140876637,0.9799271733554199,1.0194979303204548,0.9977616036935226,0.9965756259883927,1.0122862071863483,1.112630305894854,0.9992340011431696,1.0450434926880505,1.0071727437611295,1.0078694447231151,0.9910572850024049,1.0309521795343994,0.9808396521960561,0.9805933702238562,0.998363412866246,0.9705693543577495
realistic,w_g_learned,456,1.0174270787696926,0.990067530553564,1.0205117860973032,0.9991701614657578,1.153595623414041,1.1178011217031922,1.0120669995432308,1.0144546724379335,0.9952606251630096,0.9969565284081715,1.0059137856148739,1.0054329432353366,1.0004537342019113,0.9962633279947726,0.9941899375260052,1.0101370631530997,0.9972487211387461,0.9978593072714252,1.0143127568742156,1.1087839454541268,1.0199651703496084,1.040081184061159,1.0081848457355242,1.0073479072623637,1.0031457397644563,1.0157232552483826,0.987554251238527,0.9724361087407366,0.9863683560139738,0.940790356553007
realistic,w_g_learned,789,0.9918866019413259,0.9778725348993019,1.0155060593901413,0.9681093107618212,1.1665043443177117,1.1292662859789329,0.990515114606856,1.0481548134840668,0.995932685242901,0.9975622460435828,1.0417092285169673,1.03799607004436,1.0030192161190727,1.0890677807079303,0.9929794660942023,1.0519371862890345,1.0098941311860092,1.0076038571382908,1.010745286941285,1.111649559388097,1.0177541027865362,1.0489020498969404,1.0084153778947516,1.004520160978944,0.9938517554894776,1.0640135209010617,0.996154087594015,1.0068426680316964,1.0081406398605157,0.96626724582172
realistic,w_g_learned,1024,0.9975907139127761,0.9887081532599976,0.9971757528133359,0.9723248728911955,1.1441022748589669,1.113338553912327,0.9930764615917557,1.0234301429552572,0.9712630338261208,0.9903009775663668,1.0270795632457344,1.0233526966486919,1.0022878225248593,1.044146998979035,0.9867698997894812,1.0505730067171686,0.9987354333513638,1.0014616220709351,1.0020266326541216,1.1262335386216413,1.0042562081430522,1.0604926837986934,1.0013790813161463,1.0040154376912516,0.999385669610711,1.0469410832413735,0.9965153309149756,1.0096851083634728,1.013038677216151,0.9754103942801562
realistic,w_g_learned,2048,0.9958056646565379,0.9919929204339628,1.0112458958080646,0.983223519221004,1.1458342199849256,1.106896226094427,0.9931395494370369,1.0128913554388914,0.9817469639503501,0.9840643786286989,1.026214383120607,1.0229713460802785,1.0019890814876267,1.0810343976807735,0.9901479861282992,1.0430935242414958,1.006953561987651,1.0058871033493368,1.0054007304349242,1.1078320959930252,1.0096887583501308,1.0354385438970517,1.002322727810323,1.0026479718422774,0.9901995858244962,1.0383061382317478,0.9767456220561663,0.9823212351864601,0.9968402245581115,0.969337046068051
realistic,w_g_learned,3072,0.9911003364956591,0.9940761482926308,1.0025336158531293,0.9896362915245864,1.1464323209213405,1.1136774095184216,0.9877737059173372,1.0034441343607838,0.997027252378627,0.9800738054236785,1.0311031791338794,1.0287352595849422,0.9982167636226285,1.0317049361350448,0.9899051510558188,1.0172519783106029,1.0035814396587206,1.0022959183476348,1.0190424693463032,1.1056127127876507,1.0036270806641163,1.0377804295476294,1.0089658561403538,1.0089168870645484,0.9936475929275863,1.049265921842012,0.987295737832919,0.9798373521311521,0.9890584358618568,0.9489140641653998
realistic,w_g_learned,4096,0.9963939116981824,0.9722258871713141,1.0042032619980488,0.9858901738863167,1.1677535878486147,1.1338624929428294,0.984958757433468,1.006578939072504,0.9880918358666043,0.9752794987634915,1.0066191620747356,1.011404204595012,1.0012047023061363,1.0629655760584196,1.0020675278210847,1.0159821350037384,1.0020491894828518,1.0044157585684277,1.018522616564921,1.1131064777524173,1.0000660461925701,1.0244357768755592,0.9967080830504138,0.9958867261178656,0.9961578949587004,1.045015199352916,0.9970861113730485,0.9817251587224156,0.9999482484060435,0.9620609353943382
realistic,w_g_learned,5120,0.9925596010971167,0.9794757002260869,1.0111442255813772,0.9705560494994553,1.1737225217372453,1.1239117757804655,0.9909683318389229,1.0078734692647215,0.9889519376955969,0.9772308814086783,1.0024395041736094,1.0016483738766266,1.0012329199021832,1.0280278530231355,0.995386146078792,1.0246560894882577,1.010976393430972,1.008182948450989,1.0136491839485855,1.1036813372614471,1.0071003513560581,1.03957264355905,1.0090551657763445,1.0126779868150264,0.9913490618926921,1.0446443609659308,0.9960410596460544,0.9884976383515021,0.9913348979669941,0.9502618022196133
realistic,w_g_learned,6144,0.9936504993934487,0.9792835046594938,1.0079962104429134,0.9728486353937332,1.1689788582970218,1.123542976711761,0.9926059739539594,0.9910469787484337,0.9861663325514939,0.9701332242240809,1.0160181030411999,1.007778163670185,0.9996488074505496,1.0404730359252565,0.9915790809352156,1.0228179447286427,0.9994881977094705,1.001034708654479,1.0111947903329053,1.164723518414954,1.0166908025734815,1.0585839070760226,1.0158272469530256,1.0138308678063734,0.993182590836533,1.0426502735891996,0.9973674450391024,0.9803358924464757,0.9877912639247667,0.9487777295366406
