seed,oracle_type,noise_rate,checkpoint,cumulative_gt_acc,recent_20_gt_acc,w_frobenius,w_max,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
789,gt_aligned,0.05,1000,0.913,1.0,8.118218,3.584483,0.975,0.82,0.945,0.96,0.865
1024,gt_aligned,0.05,50,0.34,0.6,0.528447,0.208313,0.428571,0.230769,0.428571,0.142857,0.444444
1024,gt_aligned,0.05,100,0.43,0.5,0.83181,0.383208,0.576923,0.238095,0.357143,0.388889,0.52381
1024,gt_aligned,0.05,200,0.585,0.85,1.622758,0.790173,0.75,0.380952,0.638889,0.432432,0.707317
1024,gt_aligned,0.05,400,0.775,1.0,3.40697,1.504255,0.860759,0.6375,0.823529,0.697368,0.85
1024,gt_aligned,0.05,700,0.868571,1.0,5.838096,2.534445,0.917293,0.791667,0.897959,0.826087,0.913043
1024,gt_aligned,0.05,1000,0.908,1.0,7.898117,3.349246,0.945,0.85,0.925,0.88,0.94
2048,gt_aligned,0.05,50,0.24,0.3,0.459292,0.19551,0.636364,0.25,0.0,0.111111,0.111111
2048,gt_aligned,0.05,100,0.33,0.4,0.694589,0.312835,0.666667,0.333333,0.217391,0.0625,0.368421
2048,gt_aligned,0.05,200,0.5,0.8,1.551237,0.722816,0.789474,0.619048,0.27907,0.114286,0.666667
2048,gt_aligned,0.05,400,0.605,0.8,3.000628,1.457003,0.884615,0.780488,0.337349,0.150685,0.833333
2048,gt_aligned,0.05,700,0.671429,0.75,4.892273,2.569139,0.934307,0.880795,0.426471,0.165414,0.902098
2048,gt_aligned,0.05,1000,0.717,0.85,6.614872,3.238219,0.955,0.91,0.525,0.265,0.93
3072,gt_aligned,0.05,50,0.38,0.4,0.559512,0.330689,0.142857,0.363636,0.0,0.363636,0.714286
3072,gt_aligned,0.05,100,0.44,0.55,0.80711,0.476536,0.294118,0.625,0.0,0.318182,0.73913
3072,gt_aligned,0.05,200,0.55,0.9,1.543668,0.908928,0.53125,0.804348,0.179487,0.372093,0.825
3072,gt_aligned,0.05,400,0.705,0.85,3.238992,1.735541,0.779221,0.891566,0.369863,0.486842,0.923077
3072,gt_aligned,0.05,700,0.788571,0.95,5.431851,2.709517,0.876812,0.93662,0.544828,0.620155,0.952055
3072,gt_aligned,0.05,1000,0.844,1.0,7.431299,3.558152,0.915,0.955,0.645,0.74,0.965
4096,gt_aligned,0.05,50,0.36,0.5,0.553478,0.262969,0.2,0.0,0.153846,0.636364,0.7
4096,gt_aligned,0.05,100,0.38,0.5,0.769456,0.5076,0.090909,0.2,0.227273,0.588235,0.75
4096,gt_aligned,0.05,200,0.535,0.8,1.487931,0.95792,0.090909,0.533333,0.547619,0.666667,0.844444
