method,seed,domain_pair,theta_logit,top_k,threshold,n_discovered,true_pos,false_pos,false_neg,precision,recall,f1
topk_only,6144,decxthr,,2,,600,11,589,4,0.0183,0.7333,0.0358
topk_only,6144,decxthr,,3,,900,12,888,3,0.0133,0.8,0.0262
topk_only,6144,decxthr,,5,,1500,14,1486,1,0.0093,0.9333,0.0185
cosine,6144,decxthr,,,0.1,13431,15,13416,0,0.0011,1.0,0.0022
cosine,6144,decxthr,,,0.15,7362,15,7347,0,0.002,1.0,0.0041
cosine,6144,decxthr,,,0.2,3800,15,3785,0,0.0039,1.0,0.0079
cosine,6144,decxthr,,,0.25,1852,14,1838,1,0.0076,0.9333,0.015
cosine,6144,decxthr,,,0.3,873,13,860,2,0.0149,0.8667,0.0293
cosine,6144,decxthr,,,0.35,303,7,296,8,0.0231,0.4667,0.044
random,6144,decxthr,,,,364,0.091,363.909,14.909,0.0003,0.0061,0.0005
two_stage,6144,secxdec,0.01,1,,200,6,194,9,0.03,0.4,0.0558
two_stage,6144,secxdec,0.01,2,,400,9,391,6,0.0225,0.6,0.0434
two_stage,6144,secxdec,0.01,3,,600,11,589,4,0.0183,0.7333,0.0358
two_stage,6144,secxdec,0.01,5,,1000,13,987,2,0.013,0.8667,0.0256
two_stage,6144,secxdec,0.02,1,,200,6,194,9,0.03,0.4,0.0558
two_stage,6144,secxdec,0.02,2,,400,9,391,6,0.0225,0.6,0.0434
two_stage,6144,secxdec,0.02,3,,600,11,589,4,0.0183,0.7333,0.0358
two_stage,6144,secxdec,0.02,5,,1000,13,987,2,0.013,0.8667,0.0256
two_stage,6144,secxdec,0.03,1,,200,6,194,9,0.03,0.4,0.0558
two_stage,6144,secxdec,0.03,2,,400,9,391,6,0.0225,0.6,0.0434
two_stage,6144,secxdec,0.03,3,,600,11,589,4,0.0183,0.7333,0.0358
two_stage,6144,secxdec,0.03,5,,997,13,984,2,0.013,0.8667,0.0257
two_stage,6144,secxdec,0.04,1,,171,6,165,9,0.0351,0.4,0.0645
two_stage,6144,secxdec,0.04,2,,297,9,288,6,0.0303,0.6,0.0577
two_stage,6144,secxdec,0.04,3,,370,11,359,4,0.0297,0.7333,0.0571
two_stage,6144,secxdec,0.04,5,,431,12,419,3,0.0278,0.8,0.0538
two_stage,6144,secxdec,0.05,1,,49,2,47,13,0.0408,0.1333,0.0625
two_stage,6144,secxdec,0.05,2,,56,2,54,13,0.0357,0.1333,0.0563
two_stage,6144,secxdec,0.05,3,,59,2,57,13,0.0339,0.1333,0.0541
two_stage,6144,secxdec,0.05,5,,60,2,58,13,0.0333,0.1333,0.0533
two_stage,6144,secxdec,0.06,1,,2,0,2,15,0.0,0.0,0.0
two_stage,6144,secxdec,0.06,2,,3,0,3,15,0.0,0.0,0.0
two_stage,6144,secxdec,0.06,3,,3,0,3,15,0.0,0.0,0.0
two_stage,6144,secxdec,0.06,5,,3,0,3,15,0.0,0.0,0.0
