condition,volume,q_bar,margin,seed,alarm_fired,alarm_index,t_damage,lead_time,miss,baseline_q,k_used
adversarial,50,0.6,0.1,6050016,True,262,472,210,False,0.7559,0.6559
adversarial,50,0.6,0.1,6050017,True,324,301,-23,True,0.6978,0.5978
adversarial,50,0.6,0.1,6050018,True,105,358,253,False,0.9287,0.8287
adversarial,50,0.6,0.1,6050019,True,232,231,-1,True,0.7225,0.6225
adversarial,50,0.6,0.1,6050020,False,,240,,True,0.4925,0.3925
adversarial,50,0.6,0.1,6050021,True,484,484,0,True,0.6662,0.5662
adversarial,50,0.6,0.1,6050022,False,,,,,0.5535,0.4535
adversarial,50,0.6,0.1,6050023,False,,,,,0.6161,0.5161
adversarial,50,0.6,0.1,6050024,False,,491,,True,0.5692,0.4692
adversarial,50,0.6,0.1,6050025,True,201,178,-23,True,0.6961,0.5961
adversarial,50,0.6,0.1,6050026,False,,161,,True,0.6669,0.5669
adversarial,50,0.6,0.1,6050027,True,277,463,186,False,0.7543,0.6543
adversarial,50,0.6,0.1,6050028,True,85,,,,0.8135,0.7135
adversarial,50,0.6,0.1,6050029,True,447,441,-6,True,0.6932,0.5932
adversarial,50,0.75,0.02,7550000,True,75,268,193,False,0.8446,0.8246
adversarial,50,0.75,0.02,7550001,True,371,262,-109,True,0.7402,0.7202
adversarial,50,0.75,0.02,7550002,False,,144,,True,0.5842,0.5642
adversarial,50,0.75,0.02,7550003,True,119,,,,0.8629,0.8429
adversarial,50,0.75,0.02,7550004,True,104,,,,0.8535,0.8335
adversarial,50,0.75,0.02,7550005,True,148,190,42,False,0.8717,0.8517
adversarial,50,0.75,0.02,7550006,False,,,,,0.7198,0.6998
adversarial,50,0.75,0.02,7550007,True,135,,,,0.7568,0.7368
adversarial,50,0.75,0.02,7550008,True,256,,,,0.7919,0.7719
adversarial,50,0.75,0.02,7550009,False,,213,,True,0.6960,0.6760
adversarial,50,0.75,0.02,7550010,True,119,,,,0.8224,0.8024
adversarial,50,0.75,0.02,7550011,True,165,145,-20,True,0.7995,0.7795
adversarial,50,0.75,0.02,7550012,True,401,396,-5,True,0.6962,0.6762
adversarial,50,0.75,0.02,7550013,False,,,,,0.6162,0.5962
adversarial,50,0.75,0.02,7550014,True,134,144,10,False,0.8504,0.8304
adversarial,50,0.75,0.02,7550015,False,,195,,True,0.6690,0.6490
adversarial,50,0.75,0.02,7550016,True,232,293,61,False,0.8415,0.8215
adversarial,50,0.75,0.02,7550017,True,130,329,199,False,0.8909,0.8709
adversarial,50,0.75,0.02,7550018,False,,349,,True,0.6972,0.6772
adversarial,50,0.75,0.02,7550019,False,,,,,0.7282,0.7082
adversarial,50,0.75,0.02,7550020,False,,243,,True,0.6333,0.6133
adversarial,50,0.75,0.02,7550021,True,104,145,41,False,0.9114,0.8914
adversarial,50,0.75,0.02,7550022,False,,144,,True,0.7377,0.7177
adversarial,50,0.75,0.02,7550023,True,210,208,-2,True,0.8218,0.8018
adversarial,50,0.75,0.02,7550024,True,116,,,,0.8561,0.8361
adversarial,50,0.75,0.02,7550025,False,,,,,0.6085,0.5885
adversarial,50,0.75,0.02,7550026,True,87,,,,0.9014,0.8814
adversarial,50,0.75,0.02,7550027,True,177,188,11,False,0.8357,0.8157
adversarial,50,0.75,0.02,7550028,False,,,,,0.5698,0.5498
adversarial,50,0.75,0.02,7550029,False,,,,,0.6911,0.6711
adversarial,50,0.75,0.03,7550000,True,75,268,193,False,0.8446,0.8146
adversarial,50,0.75,0.03,7550001,True,382,262,-120,True,0.7402,0.7102
adversarial,50,0.75,0.03,7550002,False,,144,,True,0.5842,0.5542
adversarial,50,0.75,0.03,7550003,True,148,,,,0.8629,0.8329
adversarial,50,0.75,0.03,7550004,True,107,,,,0.8535,0.8235
adversarial,50,0.75,0.03,7550005,True,159,190,31,False,0.8717,0.8417
adversarial,50,0.75,0.03,7550006,False,,,,,0.7198,0.6898
adversarial,50,0.75,0.03,7550007,True,140,,,,0.7568,0.7268
adversarial,50,0.75,0.03,7550008,True,498,,,,0.7919,0.7619
adversarial,50,0.75,0.03,7550009,False,,213,,True,0.6960,0.6660
adversarial,50,0.75,0.03,7550010,True,122,,,,0.8224,0.7924
adversarial,50,0.75,0.03,7550011,True,173,145,-28,True,0.7995,0.7695
adversarial,50,0.75,0.03,7550012,True,403,396,-7,True,0.6962,0.6662
adversarial,50,0.75,0.03,7550013,False,,,,,0.6162,0.5862
adversarial,50,0.75,0.03,7550014,True,137,144,7,False,0.8504,0.8204
adversarial,50,0.75,0.03,7550015,False,,195,,True,0.6690,0.6390
adversarial,50,0.75,0.03,7550016,True,252,293,41,False,0.8415,0.8115
adversarial,50,0.75,0.03,7550017,True,138,329,191,False,0.8909,0.8609
adversarial,50,0.75,0.03,7550018,False,,349,,True,0.6972,0.6672
adversarial,50,0.75,0.03,7550019,False,,,,,0.7282,0.6982
adversarial,50,0.75,0.03,7550020,False,,243,,True,0.6333,0.6033
adversarial,50,0.75,0.03,7550021,True,107,145,38,False,0.9114,0.8814
adversarial,50,0.75,0.03,7550022,False,,144,,True,0.7377,0.7077
adversarial,50,0.75,0.03,7550023,True,211,208,-3,True,0.8218,0.7918
adversarial,50,0.75,0.03,7550024,True,126,,,,0.8561,0.8261
adversarial,50,0.75,0.03,7550025,False,,,,,0.6085,0.5785
adversarial,50,0.75,0.03,7550026,True,89,,,,0.9014,0.8714
adversarial,50,0.75,0.03,7550027,True,182,188,6,False,0.8357,0.8057
adversarial,50,0.75,0.03,7550028,False,,,,,0.5698,0.5398
adversarial,50,0.75,0.03,7550029,False,,,,,0.6911,0.6611
adversarial,50,0.75,0.05,7550000,True,76,268,192,False,0.8446,0.7946
adversarial,50,0.75,0.05,7550001,False,,262,,True,0.7402,0.6902
adversarial,50,0.75,0.05,7550002,False,,144,,True,0.5842,0.5342
adversarial,50,0.75,0.05,7550003,True,167,,,,0.8629,0.8129
adversarial,50,0.75,0.05,7550004,True,112,,,,0.8535,0.8035
