condition,noise_level,lambda,seed,accuracy,ece,acc_credential_access,acc_threat_intel_match,acc_lateral_movement,acc_data_exfiltration,acc_insider_threat
warm_start,0.0,0.2,6144,96.4,0.051345,98.1982,100.0,95.098,91.0891,98.1308
warm_start,0.0,0.3,42,97.6,0.049233,99.1071,100.0,95.1923,94.3925,100.0
warm_start,0.0,0.3,123,98.0,0.054028,98.9247,100.0,98.0,92.8571,100.0
warm_start,0.0,0.3,456,96.8,0.053642,97.8723,100.0,96.2264,89.3617,100.0
warm_start,0.0,0.3,789,96.8,0.051456,98.1818,98.1651,97.0874,90.4762,98.9362
warm_start,0.0,0.3,1024,96.6,0.055191,99.0476,99.0,92.2414,93.1818,100.0
warm_start,0.0,0.3,2048,95.4,0.044159,100.0,99.0196,89.6226,92.1569,97.0874
warm_start,0.0,0.3,3072,96.4,0.049435,98.1132,98.0952,94.0,91.6667,99.0476
warm_start,0.0,0.3,4096,96.6,0.036558,98.0583,98.9474,94.382,91.8367,99.1304
warm_start,0.0,0.3,5120,97.8,0.053742,99.0476,100.0,95.3704,95.6044,99.0476
warm_start,0.0,0.3,6144,96.4,0.052061,98.1982,100.0,95.098,91.0891,98.1308
warm_start,0.0,0.5,42,97.2,0.049308,98.2143,100.0,94.2308,94.3925,100.0
warm_start,0.0,0.5,123,96.2,0.045146,98.9247,91.5888,98.0,92.8571,100.0
warm_start,0.0,0.5,456,96.4,0.057097,96.8085,100.0,95.283,89.3617,100.0
warm_start,0.0,0.5,789,96.8,0.055605,98.1818,98.1651,97.0874,90.4762,98.9362
warm_start,0.0,0.5,1024,96.4,0.055388,99.0476,98.0,92.2414,93.1818,100.0
warm_start,0.0,0.5,2048,94.8,0.038068,100.0,97.0588,89.6226,92.1569,96.1165
warm_start,0.0,0.5,3072,95.2,0.045576,98.1132,94.2857,94.0,90.4762,98.0952
warm_start,0.0,0.5,4096,96.4,0.039531,98.0583,98.9474,94.382,91.8367,98.2609
warm_start,0.0,0.5,5120,96.6,0.050607,99.0476,94.5055,95.3704,95.6044,98.0952
warm_start,0.0,0.5,6144,95.6,0.051032,97.2973,96.2025,95.098,91.0891,98.1308
