method,seed,checkpoint,cumulative_accuracy,window_accuracy,action_0_accuracy,action_1_accuracy,action_2_accuracy,action_3_accuracy
periodic_retrain,123,5000,0.5314,0.526333,0.436768,0.218928,0.543946,0.735079
periodic_retrain,456,50,0.22,0.22,0.0,0.090909,0.368421,0.25
periodic_retrain,456,100,0.35,0.48,0.0,0.222222,0.4,0.515152
periodic_retrain,456,200,0.4,0.45,0.133333,0.268293,0.451613,0.552239
periodic_retrain,456,500,0.516,0.593333,0.527027,0.135417,0.474684,0.761628
periodic_retrain,456,1000,0.511,0.506,0.442953,0.124352,0.522293,0.747093
periodic_retrain,456,2000,0.5095,0.508,0.454849,0.170391,0.561431,0.658571
periodic_retrain,456,5000,0.5338,0.55,0.516812,0.119504,0.580446,0.714286
periodic_retrain,789,50,0.26,0.26,0.555556,0.166667,0.111111,0.294118
periodic_retrain,789,100,0.32,0.38,0.375,0.142857,0.0625,0.578947
periodic_retrain,789,200,0.385,0.45,0.393939,0.115385,0.076923,0.736842
periodic_retrain,789,500,0.528,0.623333,0.718447,0.092308,0.368421,0.751553
periodic_retrain,789,1000,0.517,0.506,0.641026,0.089744,0.477341,0.691824
periodic_retrain,789,2000,0.515,0.513,0.618919,0.125,0.541925,0.643533
periodic_retrain,789,5000,0.5212,0.525333,0.531866,0.150525,0.552387,0.676065
periodic_retrain,1024,50,0.2,0.2,0.166667,0.166667,0.347826,0.0
periodic_retrain,1024,100,0.3,0.4,0.111111,0.083333,0.627907,0.0
periodic_retrain,1024,200,0.305,0.31,0.264706,0.16129,0.605634,0.0625
periodic_retrain,1024,500,0.464,0.57,0.583333,0.197368,0.734463,0.233129
periodic_retrain,1024,1000,0.465,0.466,0.642857,0.133333,0.608824,0.391437
periodic_retrain,1024,2000,0.5115,0.558,0.665595,0.109091,0.567407,0.580409
periodic_retrain,1024,5000,0.5334,0.548,0.620859,0.103406,0.548036,0.684426
periodic_retrain,2048,50,0.3,0.3,0.25,0.25,0.333333,0.315789
periodic_retrain,2048,100,0.38,0.46,0.5,0.111111,0.3,0.527778
periodic_retrain,2048,200,0.405,0.43,0.612903,0.071429,0.409091,0.52459
periodic_retrain,2048,500,0.524,0.603333,0.567568,0.102041,0.511905,0.775
periodic_retrain,2048,1000,0.532,0.54,0.477124,0.091892,0.544118,0.798137
periodic_retrain,2048,2000,0.544,0.556,0.535826,0.081232,0.582712,0.761905
periodic_retrain,2048,5000,0.5466,0.548333,0.581535,0.097973,0.563702,0.757745
periodic_retrain,3072,50,0.32,0.32,0.181818,0.0,0.45,0.357143
periodic_retrain,3072,100,0.39,0.46,0.423077,0.090909,0.5,0.333333
periodic_retrain,3072,200,0.38,0.37,0.361111,0.15625,0.416667,0.466667
periodic_retrain,3072,500,0.504,0.586667,0.563218,0.1,0.468354,0.691429
periodic_retrain,3072,1000,0.517,0.53,0.595506,0.078313,0.561194,0.654206
periodic_retrain,3072,2000,0.5395,0.562,0.630814,0.091445,0.496835,0.754745
periodic_retrain,3072,5000,0.5264,0.517667,0.54902,0.167793,0.51711,0.714457
periodic_retrain,4096,50,0.26,0.26,0.0,0.0,0.625,0.157895
periodic_retrain,4096,100,0.38,0.5,0.071429,0.0,0.5625,0.475
periodic_retrain,4096,200,0.485,0.59,0.5625,0.038462,0.514286,0.583333
periodic_retrain,4096,500,0.56,0.61,0.714286,0.044776,0.638298,0.607143
periodic_retrain,4096,1000,0.533,0.506,0.628931,0.147239,0.464286,0.739766
periodic_retrain,4096,2000,0.5175,0.502,0.573209,0.104683,0.523379,0.713629
